locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
Varthur,Bangalore,1450.0,2,2,0,Unfurnished,10.0,15000.0
New International Airport Road,Bangalore,950.0,2,2,0,Semi-Furnished,19.0,18000.0
Goregaon East,Mumbai,646.0,1,1,0,Semi-Furnished,42.0,27000.0
Mulund West,Mumbai,850.0,2,2,0,Semi-Furnished,59.0,50000.0
Mahendru Enclave,New Delhi,900.0,2,2,0,Unfurnished,26.0,23000.0
Mavalli,Bangalore,550.0,1,1,0,Semi-Furnished,25.0,14000.0
Phase 1 Sivagiri Township,Bangalore,600.0,1,1,0,Semi-Furnished,20.0,12000.0
Union Park,Mumbai,2000.0,4,4,0,Unfurnished,100.0,200000.0
Chhattarpur,New Delhi,1100.0,3,2,0,Semi-Furnished,26.0,29000.0
Kothnur,Bangalore,1100.0,2,2,0,Furnished,22.0,24000.0
Thirumenahalli,Bangalore,2900.0,4,4,2,Furnished,17.0,49999.0
Shivane,Pune,950.0,2,2,0,Furnished,23.0,22000.0
Ravi Nagar,Nagpur,1000.0,2,2,4,Unfurnished,16.0,16000.0
Matiala,New Delhi,675.0,2,1,0,Semi-Furnished,21.0,14000.0
Sector 13 Rohini,New Delhi,1105.0,3,2,3,Semi-Furnished,36.0,40000.0
Abbigere,Bangalore,650.0,1,1,0,Unfurnished,12.0,7500.0
Mumbai CST Area,Mumbai,1000.0,4,3,2,Semi-Furnished,150.0,150000.0
Mira Road,Mumbai,750.0,2,3,3,Semi-Furnished,20.0,15000.0
Tardeo,Mumbai,300.0,1,1,0,Unfurnished,67.0,20000.0
Malad East,Mumbai,1833.0,3,3,0,Semi-Furnished,69.0,130000.0
Dabha,Nagpur,1200.0,3,2,3,Semi-Furnished,14.0,17000.0
Magathane,Mumbai,1200.0,2,2,3,Unfurnished,54.0,65000.0
Nagarbhavi,Bangalore,750.0,2,1,0,Semi-Furnished,11.0,8000.0
Lohegaon,Pune,1000.0,3,2,0,Unfurnished,30.0,30000.0
Gopal Nagar,Nagpur,1000.0,2,1,0,Semi-Furnished,18.0,18000.0
Halanayakanahalli,Bangalore,2000.0,3,3,0,Unfurnished,35.0,70000.0
Baner Mahalunge Road,Pune,3800.0,5,6,2,Unfurnished,59.0,230000.0
Manish Nagar,Nagpur,600.0,2,2,0,Unfurnished,20.0,12000.0
Hinjewadi,Pune,700.0,2,2,0,Unfurnished,36.0,25000.0
New International Airport Road,Bangalore,1500.0,3,3,0,Semi-Furnished,33.0,50000.0
Fatima Nagar,Pune,1300.0,3,3,0,Furnished,38.0,50000.0
Hebbal,Bangalore,1150.0,2,2,2,Semi-Furnished,52.0,60000.0
Katraj,Pune,2000.0,4,4,0,Furnished,11.0,22917.0
Prabhadevi,Mumbai,3045.0,5,7,0,Unfurnished,230.0,700000.0
Sewri,Mumbai,750.0,2,2,0,Semi-Furnished,120.0,90000.0
Nari Road,Nagpur,600.0,1,2,0,Unfurnished,12.0,7000.0
Hinjewadi,Pune,1172.0,3,2,3,Semi-Furnished,30.0,35000.0
Somalwada,Nagpur,1280.0,2,3,3,Unfurnished,14.0,18000.0
Kharadi,Pune,2345.0,3,3,2,Unfurnished,32.0,75000.0
Wadgaon Sheri,Pune,800.0,1,1,0,Unfurnished,10.0,8000.0
Koregaon Park,Pune,560.0,1,1,2,Unfurnished,57.0,32000.0
Mira Road,Mumbai,586.0,1,1,0,Unfurnished,28.0,16500.0
Saki Naka,Mumbai,455.0,1,2,0,Furnished,101.0,46000.0
Wadala East,Mumbai,638.0,2,2,0,Furnished,110.0,70000.0
Nizamuddin East,New Delhi,1800.0,3,3,2,Semi-Furnished,83.0,150000.0
Narendra Nagar,Nagpur,700.0,2,2,0,Unfurnished,17.0,12000.0
Saswad Road,Pune,1200.0,2,2,0,Semi-Furnished,11.0,13000.0
Ghitorni,New Delhi,450.0,1,1,0,Unfurnished,10.0,4500.0
Kandivali West,Mumbai,432.0,1,2,0,Semi-Furnished,81.0,35000.0
Kharadi,Pune,1200.0,2,2,0,Furnished,25.0,30000.0
Amravati Road,Nagpur,1500.0,3,2,2,Semi-Furnished,23.0,35000.0
Shiv Vihar,New Delhi,630.0,3,2,0,Semi-Furnished,13.0,8500.0
Palace Cross Road,Bangalore,4000.0,6,5,5,Semi-Furnished,38.0,150000.0
Hinjewadi,Pune,1000.0,3,3,2,Unfurnished,32.0,32000.0
Jaitpur Extension Part 2,New Delhi,75.0,3,2,0,Unfurnished,107.0,8000.0
Hinjewadi,Pune,1080.0,2,2,0,Semi-Furnished,17.0,18000.0
Mayur Vihar 1,New Delhi,650.0,2,2,0,Semi-Furnished,46.0,30000.0
Uttam Nagar,New Delhi,1000.0,3,1,0,Unfurnished,12.0,12000.0
Wakad,Pune,670.0,2,2,0,Unfurnished,42.0,28000.0
HSR Layout,Bangalore,2500.0,6,5,0,Furnished,12.0,30000.0
Chhattarpur,New Delhi,850.0,2,2,0,Semi-Furnished,16.0,14000.0
Kammanahalli,Bangalore,950.0,2,2,0,Semi-Furnished,55.0,52000.0
Malad West,Mumbai,700.0,2,1,0,Semi-Furnished,43.0,30000.0
Block 3rd Jayanagar East,Bangalore,400.0,1,1,0,Unfurnished,26.0,10500.0
Benson Town,Bangalore,2200.0,3,3,2,Semi-Furnished,45.0,100000.0
Kandivali East,Mumbai,575.0,1,1,0,Furnished,63.0,36000.0
Shankar Sheth Road,Pune,1770.0,4,4,3,Semi-Furnished,48.0,85000.0
Neeladri Nagar,Bangalore,550.0,2,2,0,Semi-Furnished,22.0,12000.0
Guru Harikishan Nagar,New Delhi,1116.0,3,3,0,Furnished,35.888888888888886,40000.0
Hadapsar,Pune,565.0,1,1,0,Unfurnished,15.0,8500.0
Kharadi,Pune,200.0,1,1,0,Semi-Furnished,25.0,5000.0
Byrathi,Bangalore,950.0,2,2,0,Semi-Furnished,22.0,21000.0
Kanakapura Road,Bangalore,1125.0,3,2,0,Unfurnished,31.0,35000.0
Shikrapur,Pune,750.0,1,1,0,Semi-Furnished,9.0,6500.0
Vikaspuri,New Delhi,1125.0,3,2,0,Semi-Furnished,15.0,17000.0
Basaveshwar Nagar,Bangalore,1405.0,3,2,0,Furnished,25.0,35000.0
Pul Prahlad Pur,New Delhi,880.0,3,2,0,Unfurnished,34.0,30000.0
K Channasandra,Bangalore,750.0,2,2,0,Semi-Furnished,24.0,18000.0
Bannerghatta Road,Bangalore,2254.0,3,3,0,Semi-Furnished,33.0,75000.0
Eden Gardens,Mumbai,1950.0,3,3,3,Furnished,18.0,35000.0
Krishna Nagar-Safdarjung Enclave,New Delhi,470.0,1,1,0,Semi-Furnished,36.0,17000.0
Hadapsar,Pune,750.0,2,2,2,Semi-Furnished,36.0,27000.0
Mira Road,Mumbai,700.0,2,2,3,Semi-Furnished,40.0,28000.0
Marol,Mumbai,700.0,2,2,0,Unfurnished,86.0,60000.0
Amboli,Mumbai,330.0,1,1,0,Semi-Furnished,79.0,26000.0
Sector D Vasant Kunj,New Delhi,1500.0,3,3,0,Furnished,50.0,75000.0
Srigandha Nagar,Bangalore,750.0,2,2,0,Semi-Furnished,20.0,15000.0
GK II,New Delhi,2700.0,4,4,3,Semi-Furnished,74.11111111111111,200000.0
Mahavir Enclave,New Delhi,1000.0,2,2,0,Unfurnished,19.0,19000.0
HSR Layout,Bangalore,1800.0,3,2,3,Semi-Furnished,44.0,80000.0
Mukherjee Nagar,New Delhi,1440.0,4,4,2,Unfurnished,42.0,60000.0
Powai,Mumbai,750.0,2,2,0,Unfurnished,100.0,75000.0
Sector 17 Rohini,New Delhi,550.0,1,1,0,Unfurnished,18.0,10000.0
Moshi,Pune,680.0,2,2,2,Unfurnished,14.0,9500.0
Mehrauli,New Delhi,800.0,2,2,0,Semi-Furnished,19.0,15000.0
Kandivali West,Mumbai,550.0,2,1,3,Semi-Furnished,91.0,50000.0
Bhuvaneshwari Nagar,Bangalore,2400.0,4,4,3,Furnished,42.0,100000.0
Andheri West,Mumbai,640.0,2,2,2,Unfurnished,109.0,70000.0
Mahalunge,Pune,431.0,1,1,0,Unfurnished,44.0,19000.0
Kalkaji,New Delhi,1700.0,3,3,2,Furnished,65.0,110000.0
Mihan,Nagpur,1418.0,3,3,0,Semi-Furnished,25.0,35000.0
Hadapsar,Pune,500.0,1,1,0,Semi-Furnished,20.0,10000.0
Besa,Nagpur,1078.0,3,3,3,Semi-Furnished,16.0,17000.0
Wadi,Nagpur,900.0,2,2,0,Semi-Furnished,13.0,12000.0
Punawale,Pune,698.0,2,2,0,Unfurnished,33.0,23000.0
Kirari Suleman Nagar,New Delhi,603.0,2,1,0,Unfurnished,13.0,7999.0
Kondhwa,Pune,2500.0,3,3,2,Unfurnished,19.0,48000.0
Rajarajeshwari Nagar,Bangalore,1200.0,2,2,0,Semi-Furnished,17.0,20000.0
Manjri Budruk,Pune,1200.0,3,3,3,Semi-Furnished,27.0,32500.0
Bajaj Nagar,Nagpur,1100.0,3,2,3,Furnished,41.0,45000.0
Four Bungalows,Mumbai,1290.0,3,3,2,Furnished,155.0,200000.0
Laxmi Nagar,New Delhi,495.0,2,1,0,Furnished,30.0,15000.0
Patel Nagar South,New Delhi,850.0,2,2,0,Semi-Furnished,44.0,37000.0
Manjri,Pune,776.0,2,2,0,Unfurnished,35.0,27000.0
Mira Road,Mumbai,882.0,2,2,0,Semi-Furnished,27.0,24000.0
Manjri,Pune,691.0,2,2,2,Semi-Furnished,36.0,25000.0
Vile Parle West,Mumbai,745.0,2,2,0,Furnished,81.0,60000.0
Malad East,Mumbai,550.0,1,2,0,Unfurnished,44.0,24000.0
Sarjapur Road,Bangalore,930.0,2,2,0,Semi-Furnished,44.0,41000.0
South Extension 2,New Delhi,1600.0,3,3,2,Unfurnished,50.0,80000.0
Mulund West,Mumbai,1451.0,3,3,0,Semi-Furnished,96.0,140000.0
Hadapsar,Pune,650.0,1,2,0,Furnished,22.0,14000.0
Yelahanka,Bangalore,2860.0,3,4,2,Furnished,31.0,90000.0
Rachenahalli,Bangalore,2502.0,4,4,5,Semi-Furnished,26.0,65000.0
Shiv Nagar,New Delhi,500.0,1,1,0,Furnished,28.0,14000.0
HSR Layout,Bangalore,700.0,1,1,0,Semi-Furnished,21.0,15000.0
Moti Nagar,New Delhi,1550.0,3,2,3,Furnished,40.0,62000.0
Shastri Nagar,New Delhi,900.0,2,1,0,Unfurnished,18.0,16000.0
Banashankari,Bangalore,200.0,1,1,0,Semi-Furnished,28.0,5500.0
Borivali East,Mumbai,1400.0,3,3,0,Semi-Furnished,82.0,120000.0
Sector B Vasant Kunj,New Delhi,1200.0,3,2,0,Unfurnished,75.0,90000.0
Mohan Garden,New Delhi,450.0,1,1,0,Semi-Furnished,23.0,10500.0
Sagarpur,New Delhi,750.0,2,1,0,Unfurnished,15.0,11000.0
Four Bungalows,Mumbai,325.0,1,1,0,Furnished,77.0,25000.0
Vishwas Nagar,New Delhi,1170.0,3,1,0,Unfurnished,21.0,25000.0
Baner,Pune,1050.0,3,2,0,Unfurnished,38.0,40000.0
Dhanori,Pune,1120.0,3,3,3,Unfurnished,25.0,28000.0
Bhapkar Mala,Pune,400.0,1,1,0,Unfurnished,19.0,7500.0
Rajouri Garden,New Delhi,1100.0,3,2,2,Unfurnished,20.0,22000.0
Katraj Kondhwa Road,Pune,600.0,1,1,0,Unfurnished,13.0,8000.0
Hadapsar,Pune,1000.0,3,3,0,Semi-Furnished,30.0,30000.0
Kharadi,Pune,1015.0,2,2,2,Furnished,37.0,38000.0
Virupakshapura,Bangalore,800.0,2,2,0,Semi-Furnished,12.0,10000.0
Matunga West,Mumbai,610.0,1,1,2,Furnished,115.0,70000.0
New International Airport Road,Bangalore,1311.0,2,2,2,Furnished,37.0,48000.0
Magarpatta City,Pune,1500.0,3,3,2,Furnished,37.0,55000.0
Mahatma Gandhi Road,Bangalore,1000.0,2,2,0,Semi-Furnished,60.0,60000.0
Pali Hill,Mumbai,1400.0,3,4,0,Furnished,179.0,250000.0
Ramesh Nagar,New Delhi,460.0,1,1,0,Semi-Furnished,37.0,17000.0
Swastik Park,Mumbai,720.0,2,2,0,Unfurnished,49.0,35000.0
Sector 13 Dwarka,New Delhi,1602.0,3,3,5,Semi-Furnished,25.0,40000.0
Valepura,Bangalore,2200.0,4,4,3,Unfurnished,24.0,53000.0
Borivali West,Mumbai,650.0,2,2,0,Semi-Furnished,80.0,52000.0
Wadgaon Sheri,Pune,436.0,1,1,0,Furnished,60.0,26000.0
Dhayari Phata Road,Pune,960.0,2,2,2,Unfurnished,16.0,15000.0
Koradi Road,Nagpur,1500.0,3,3,2,Unfurnished,10.0,15000.0
Bijwasan,New Delhi,500.0,2,1,0,Unfurnished,11.0,5500.0
Vikhroli East,Mumbai,495.0,1,1,0,Furnished,71.0,35000.0
Sus,Pune,1600.0,4,4,0,Semi-Furnished,46.0,74000.0
Kapashera Samalkha Road,New Delhi,250.0,1,1,0,Semi-Furnished,48.0,12000.0
Hennur Main Road,Bangalore,100.0,1,1,0,Unfurnished,45.0,4500.0
Hastsal,New Delhi,950.0,2,2,0,Semi-Furnished,12.0,11000.0
Doddaballapur Main Road,Bangalore,1262.0,3,3,0,Furnished,40.0,50000.0
Kurla West,Mumbai,875.0,3,2,4,Unfurnished,74.0,65000.0
Badarpur Extension,New Delhi,6.0,2,2,0,Semi-Furnished,20.0,12000.0
Rajaji Nagar Block 1,Bangalore,1955.0,3,3,3,Semi-Furnished,159.0,310000.0
Narela,New Delhi,500.0,2,1,0,Unfurnished,10.0,5000.0
Govindpuri,New Delhi,350.0,3,2,0,Semi-Furnished,71.0,25000.0
Wadala East,Mumbai,720.0,2,2,0,Unfurnished,104.0,75000.0
Isasani,Nagpur,1200.0,3,3,0,Semi-Furnished,10.0,12000.0
Chandivali,Mumbai,636.0,2,2,0,Unfurnished,134.0,85000.0
Mayur Vihar 1,New Delhi,800.0,2,2,0,Semi-Furnished,25.0,20000.0
Whitefield,Bangalore,4000.0,4,4,3,Furnished,38.0,150000.0
Sector 19 Dwarka,New Delhi,1890.0,3,2,0,Furnished,26.0,50000.0
Electronics City Phase 1,Bangalore,1050.0,3,3,0,Semi-Furnished,36.0,38000.0
Santacruz East,Mumbai,490.0,1,2,0,Unfurnished,73.0,36000.0
Mallasandra Village,Bangalore,1321.0,3,2,0,Furnished,38.0,50000.0
Bel Tarodi,Nagpur,750.0,2,1,2,Semi-Furnished,13.0,10000.0
Union Park,Mumbai,1500.0,4,3,0,Semi-Furnished,93.0,140000.0
Kharadi,Pune,2300.0,3,3,0,Semi-Furnished,23.0,52000.0
Dadar East,Mumbai,300.0,1,1,0,Unfurnished,60.0,18000.0
Mihan,Nagpur,950.0,3,3,3,Unfurnished,18.0,17000.0
Umred Road,Nagpur,1200.0,3,3,0,Unfurnished,8.0,10000.0
Chembur,Mumbai,2025.0,4,4,4,Semi-Furnished,74.0,150000.0
Pai Layout Mahadevapura,Bangalore,1080.0,2,2,0,Unfurnished,21.0,23000.0
Hingna Road,Nagpur,900.0,2,2,2,Unfurnished,9.0,8000.0
Bhagwan Nagar,Pune,400.0,1,1,0,Unfurnished,52.0,21000.0
Malad West,Mumbai,942.0,3,3,3,Semi-Furnished,79.0,74000.0
Mahavir Enclave,New Delhi,1200.0,3,1,0,Unfurnished,17.0,20000.0
Devanahalli,Bangalore,952.0,2,2,0,Semi-Furnished,26.0,25000.0
GK II,New Delhi,2250.0,4,5,3,Unfurnished,120.0,270000.0
Central Avenue Road,Mumbai,1100.0,3,3,0,Semi-Furnished,114.0,130000.0
Halasuru,Bangalore,600.0,2,2,0,Unfurnished,22.0,13000.0
Lashkari Bagh,Nagpur,700.0,1,1,2,Unfurnished,11.0,7500.0
Mulund West,Mumbai,1451.0,3,3,0,Semi-Furnished,83.0,120000.0
Wakad,Pune,1112.0,2,2,3,Unfurnished,31.0,35000.0
Pisoli,Pune,980.0,2,2,2,Unfurnished,15.0,15000.0
Mihan,Nagpur,1440.0,3,3,2,Furnished,22.0,32000.0
Andheri West,Mumbai,1125.0,3,3,3,Furnished,71.0,80000.0
D Block Saket,New Delhi,2150.0,4,4,2,Semi-Furnished,67.0,150000.0
Viman Nagar Central,Pune,700.0,1,1,0,Furnished,40.0,28000.0
Krishna Nagar,New Delhi,2000.0,3,2,0,Unfurnished,23.0,46000.0
Bhandup West,Mumbai,804.0,2,2,0,Unfurnished,68.0,55000.0
Borivali East,Mumbai,1000.0,3,3,0,Unfurnished,97.0,97000.0
Najafgarh,New Delhi,800.0,2,2,0,Semi-Furnished,12.0,10000.0
Karol Bagh,New Delhi,580.0,2,2,0,Furnished,53.0,31000.0
Vasundhara Enclave,New Delhi,1200.0,2,1,0,Unfurnished,23.0,28000.0
Kadugodi,Bangalore,1760.0,3,3,0,Furnished,34.0,60000.0
Jamtha,Nagpur,1200.0,3,3,0,Unfurnished,10.0,12000.0
Laxmi Nagar,Nagpur,650.0,2,1,0,Unfurnished,31.0,20000.0
Mayur Vihar Phase 2,New Delhi,800.0,2,2,0,Furnished,56.0,45000.0
Electronics City Phase 1,Bangalore,800.0,2,2,0,Semi-Furnished,40.0,32000.0
Dhayari,Pune,600.0,1,1,0,Unfurnished,13.0,8000.0
Laxmi Nagar,New Delhi,500.0,1,1,0,Semi-Furnished,14.0,7000.0
Goregaon West,Mumbai,700.0,2,2,0,Unfurnished,100.0,70000.0
Thirumenahalli,Bangalore,800.0,2,2,0,Semi-Furnished,30.0,24000.0
Karve Nagar,Pune,1000.0,4,2,0,Furnished,45.0,45000.0
Sunkadakatte,Bangalore,750.0,2,2,0,Semi-Furnished,23.0,17000.0
Jakkur,Bangalore,840.0,2,2,0,Furnished,49.0,41000.0
Kanjurmarg East,Mumbai,850.0,3,3,0,Semi-Furnished,94.0,80000.0
Lokhandwala Complex Andheri West,Mumbai,1200.0,3,3,3,Furnished,138.0,170000.0
Hinjewadi Phase 2,Pune,757.0,2,2,0,Semi-Furnished,32.0,24500.0
Kailash Colony,New Delhi,4500.0,4,4,3,Semi-Furnished,44.44444444444444,200000.0
Kandivali West,Mumbai,1056.0,3,3,0,Unfurnished,49.0,52000.0
Mayur Vihar Phase 3,New Delhi,400.0,1,1,0,Semi-Furnished,15.0,6000.0
Kharadi,Pune,1104.0,2,2,2,Furnished,39.0,43000.0
Kothrud,Pune,650.0,1,1,0,Unfurnished,34.0,22000.0
Tagore Garden,New Delhi,1350.0,3,2,0,Semi-Furnished,22.0,30000.0
Vasant Vihar,New Delhi,4000.0,4,4,2,Unfurnished,63.0,250000.0
Baner,Pune,1285.0,3,3,2,Semi-Furnished,40.0,52000.0
Bel Tarodi,Nagpur,1150.0,3,2,3,Semi-Furnished,7.0,8000.0
Virar West,Mumbai,720.0,3,3,4,Semi-Furnished,25.0,18000.0
Wakad,Pune,789.0,2,2,2,Unfurnished,33.0,26000.0
Ganesh Nagar,New Delhi,1200.0,3,2,0,Unfurnished,16.0,19000.0
Kaval Byrasandra,Bangalore,550.0,1,2,0,Semi-Furnished,22.0,12000.0
Uttam Nagar West,New Delhi,360.0,1,1,0,Unfurnished,21.0,7500.0
Phase 7 JP Nagar,Bangalore,1000.0,2,2,0,Furnished,25.0,25000.0
Andheri West,Mumbai,1150.0,3,3,2,Unfurnished,130.0,150000.0
Mahavir Enclave,New Delhi,750.0,2,2,0,Semi-Furnished,21.0,16000.0
Chamrajpet,Bangalore,150.0,1,1,0,Unfurnished,30.0,4500.0
Sandesh Vihar,New Delhi,1650.0,3,3,2,Semi-Furnished,27.0,45000.0
Upper Worli,Mumbai,1704.0,3,3,3,Furnished,308.0,530000.0
Aya Nagar,New Delhi,495.0,2,1,0,Unfurnished,15.0,7500.0
Jhadavwadi Road,Pune,800.0,2,2,0,Semi-Furnished,18.0,14500.0
Goregaon West,Mumbai,1088.0,3,3,4,Unfurnished,85.0,92000.0
Pimple Nilakh,Pune,500.0,1,1,0,Unfurnished,24.0,12000.0
Hadapsar,Pune,790.0,1,1,0,Unfurnished,23.0,18000.0
Andheri East,Mumbai,1000.0,2,2,0,Semi-Furnished,50.0,50000.0
Kiwale,Pune,800.0,2,2,0,Unfurnished,16.0,13000.0
Doddaballapur Main Road,Bangalore,1250.0,3,3,0,Semi-Furnished,34.0,42000.0
Jawahar Nagar,Nagpur,700.0,2,1,0,Unfurnished,11.0,8000.0
Punawale,Pune,760.0,2,2,2,Unfurnished,30.0,23000.0
Uttari Pitampura,New Delhi,325.0,1,1,0,Semi-Furnished,23.0,7500.0
Banaswadi,Bangalore,850.0,1,1,0,Semi-Furnished,11.0,9500.0
Naganathapura,Bangalore,1250.0,2,2,2,Semi-Furnished,26.0,33000.0
Hadapsar,Pune,636.0,1,1,0,Semi-Furnished,16.0,10000.0
Devanahalli,Bangalore,1150.0,3,2,0,Furnished,26.0,30000.0
Sanjayanagara,Bangalore,7000.0,5,5,0,Semi-Furnished,71.0,500000.0
Sector 24 Rohini,New Delhi,700.0,2,2,0,Semi-Furnished,20.0,14000.0
Vile Parle East,Mumbai,450.0,1,2,0,Semi-Furnished,100.0,45000.0
Wadala,Mumbai,1089.0,3,3,3,Semi-Furnished,118.0,130000.0
Kithaganur Main Road,Bangalore,1000.0,2,2,0,Furnished,14.0,14000.0
Amrut Nagar Ghatkopar West,Mumbai,350.0,1,1,0,Unfurnished,100.0,35000.0
Baner,Pune,1340.0,3,3,3,Unfurnished,30.0,40000.0
Binaki Mangal Barj,Nagpur,750.0,1,1,0,Unfurnished,10.0,7500.0
Wagholi,Pune,750.0,2,2,2,Semi-Furnished,28.0,21000.0
Chindwara Road,Nagpur,1200.0,3,4,3,Semi-Furnished,15.0,18000.0
Electronic City,Bangalore,550.0,1,1,0,Semi-Furnished,16.0,9000.0
Devipada,Mumbai,1200.0,3,3,0,Furnished,77.0,92000.0
Wagholi,Pune,800.0,2,2,2,Unfurnished,29.0,23000.0
Dadar,Mumbai,900.0,2,2,2,Semi-Furnished,106.0,95000.0
Maharani Bagh,New Delhi,950.0,3,2,0,Semi-Furnished,47.0,45000.0
Parel,Mumbai,450.0,1,1,2,Semi-Furnished,96.0,43000.0
Neb Sarai,New Delhi,990.0,2,2,0,Semi-Furnished,25.0,25000.0
Punawale,Pune,1800.0,3,3,2,Furnished,14.0,26000.0
Saini Enclave,New Delhi,1620.0,2,2,2,Unfurnished,15.444444444444445,25000.0
Manjri Budruk,Pune,480.0,1,1,0,Unfurnished,16.0,7500.0
MHADA Colony Mulund East,Mumbai,420.0,1,1,0,Semi-Furnished,60.0,25000.0
Borivali West,Mumbai,450.0,1,2,0,Semi-Furnished,71.0,32000.0
Dhankawadi,Pune,500.0,1,1,0,Unfurnished,20.0,10000.0
Asola,New Delhi,540.0,2,2,0,Semi-Furnished,14.0,7500.0
Sarita Vihar,New Delhi,450.0,1,1,0,Unfurnished,44.0,20000.0
Kharadi,Pune,465.0,1,1,0,Furnished,59.0,27500.0
Vipin Garden,New Delhi,500.0,2,1,0,Semi-Furnished,20.0,10000.0
Datta Nagar Thergaon,Pune,770.0,2,2,2,Semi-Furnished,32.0,25000.0
Ramesh Nagar,New Delhi,900.0,2,2,2,Unfurnished,33.0,30000.0
Sector 2 HSR Layout,Bangalore,900.0,2,2,0,Semi-Furnished,50.0,45000.0
Beadon Pura,New Delhi,555.0,1,2,0,Semi-Furnished,36.0,20000.0
Ravi Nagar,New Delhi,750.0,2,2,0,Unfurnished,19.0,14000.0
Aya Nagar,New Delhi,250.0,1,1,0,Unfurnished,16.0,4000.0
Mundhwa,Pune,800.0,1,1,0,Unfurnished,11.0,9000.0
Bellandur,Bangalore,4800.0,5,6,7,Semi-Furnished,47.0,230000.0
Ghatkopar East,Mumbai,955.0,3,3,0,Unfurnished,85.0,81000.0
Kogilu Main Road,Bangalore,1022.0,2,2,2,Semi-Furnished,32.0,33000.0
Worli,Mumbai,1600.0,4,6,0,Semi-Furnished,250.0,400000.0
Mahalakshmi,Mumbai,600.0,2,1,0,Unfurnished,75.0,45000.0
KR Puram,Bangalore,1240.0,2,2,2,Semi-Furnished,27.0,33000.0
Andheri West,Mumbai,1550.0,3,3,4,Unfurnished,84.0,130000.0
Patel Nagar South,New Delhi,540.0,2,2,0,Semi-Furnished,33.0,18000.0
Salisbury Park,Pune,540.0,1,1,0,Semi-Furnished,26.0,14000.0
Kanjurmarg West,Mumbai,1129.0,3,3,0,Semi-Furnished,73.0,82000.0
Banashankari,Bangalore,2400.0,3,3,0,Unfurnished,19.0,45000.0
Mangolpur Kalan,New Delhi,450.0,2,1,0,Semi-Furnished,22.0,10000.0
Shikrapur,Pune,580.0,1,1,0,Unfurnished,11.0,6500.0
Goregaon West,Mumbai,1274.0,3,3,0,Unfurnished,82.0,110000.0
Tilak Nagar Chembur,Mumbai,1000.0,3,3,0,Unfurnished,55.0,55000.0
Ghatkopar East,Mumbai,950.0,2,2,0,Semi-Furnished,42.0,40000.0
Bettadasanapura,Bangalore,350.0,1,1,0,Unfurnished,9.0,3000.0
Ajit Nagar,Mumbai,1200.0,1,2,0,Unfurnished,54.0,65000.0
South Extension,New Delhi,250.0,1,1,0,Furnished,40.0,10000.0
Uttam Nagar,New Delhi,900.0,3,1,0,Unfurnished,17.0,15000.0
Andheri East,Mumbai,1180.0,2,2,0,Semi-Furnished,42.0,50000.0
Sector 7 Dwarka,New Delhi,250.0,1,1,0,Furnished,72.0,18000.0
Shivane,Pune,550.0,1,1,0,Unfurnished,14.0,7500.0
Powai,Mumbai,382.0,1,2,0,Semi-Furnished,181.0,69000.0
Anand Niketan,New Delhi,2200.0,4,5,3,Unfurnished,148.0,330000.0
Malka Ganj,New Delhi,900.0,2,2,0,Furnished,31.0,28000.0
Pipla,Nagpur,670.0,2,2,3,Unfurnished,16.0,11000.0
Marunji,Pune,444.0,1,1,0,Unfurnished,41.0,18000.0
Magarpatta City,Pune,2900.0,4,5,3,Furnished,48.0,140000.0
Lal Baug,Mumbai,300.0,1,1,0,Furnished,60.0,18000.0
Babusahib Palya,Bangalore,800.0,2,1,0,Unfurnished,14.0,11000.0
Santacruz West,Mumbai,900.0,3,2,0,Unfurnished,77.0,69000.0
Hari Nagar,New Delhi,550.0,1,1,0,Unfurnished,25.0,14000.0
Walkeshwar,Mumbai,560.0,1,2,0,Furnished,134.0,75000.0
Kanjurmarg West,Mumbai,771.0,2,2,0,Semi-Furnished,66.0,51000.0
Bavdhan,Pune,1300.0,3,3,3,Unfurnished,27.0,35000.0
Sector 7 Rohini,New Delhi,18.0,3,3,0,Semi-Furnished,13.0,26000.0
Patel Nagar West,New Delhi,360.0,1,1,0,Furnished,42.0,15000.0
Wakad,Pune,1350.0,3,3,2,Furnished,41.0,55000.0
Janakpuri,New Delhi,200.0,1,1,0,Furnished,45.0,9000.0
Pimple Nilakh,Pune,800.0,2,1,0,Unfurnished,25.0,20000.0
Tri Nagar,New Delhi,400.0,1,1,0,Unfurnished,22.0,9000.0
Friends Colony,Nagpur,1050.0,2,2,2,Furnished,17.0,18000.0
Hadapsar,Pune,2200.0,4,4,3,Unfurnished,36.0,80000.0
Borivali East,Mumbai,1297.0,4,4,0,Unfurnished,100.0,130000.0
Paschim Vihar,New Delhi,950.0,2,2,0,Semi-Furnished,28.0,26500.0
Bhukum,Pune,559.0,2,2,3,Unfurnished,36.0,20000.0
Saket,New Delhi,500.0,1,1,0,Furnished,40.0,20000.0
Bandra West,Mumbai,900.0,3,3,0,Furnished,222.0,200000.0
Narayanaghatta,Bangalore,1885.0,3,3,2,Semi-Furnished,29.0,55000.0
Malad West,Mumbai,550.0,1,1,0,Semi-Furnished,25.0,14000.0
Phase 2 Hinjawadi,Pune,456.0,1,1,0,Semi-Furnished,37.0,17000.0
Devarachikkana Halli,Bangalore,1740.0,3,3,0,Semi-Furnished,23.0,40000.0
Wagholi,Pune,350.0,1,1,0,Unfurnished,11.0,4000.0
